Business_Name,,Location,Review text,,,,,,Rating
Truffles,,"Koramangala,Bengaluru",Their portions are huge!It is a paradise for meat lovers and ,,,,,,4
,,,vegetarian equally.,,,,,,
Truffles,,"Koramangala,Bengaluru",This place is excelent and well situated in a place where there is ,,,,,,4
,,,limited parking.,,,,,,
Truffles,,"Koramangala,Bengaluru","Visited Truffles,Koramangala for lunch and honestly had a really",,,,,,5
,,,good experience overall.,,,,,,
Truffles,,"Koramangala,Bengaluru",I recently visited Truffles in koramangala for the first time and ,,,,,,5
,,,had an amazing experience.,,,,,,
Empire restaurant,,"Koramangala,Bengaluru","I must say Empire Hotel placed at Koramangala location is more than the expectation. Their rooms are very cleaned, and well maintained, supportive staff and highly attentive front office managers",,,,,,4
Empire restaurant,,"Koramangala,Bengaluru",Visited Empire Restaurant in Koramangala and ordered their chicken biryani. The experience was quite underwhelming,,,,,,2
Empire restaurant,,"Koramangala,Bengaluru","Food was tasty mainly their butter chicken and grill chicken. They have many variety of parota, malabar parotta is my favourite.",,,,,,5
Empire restaurant,,"Koramangala,Bengaluru","Food tastes really good, the prices are very reasonable, and the portion sizes are satisfying",,,,,,4
Empire restaurant,,"Koramangala,Bengaluru","Honestly, the service at Empire was really bad and pathetic. I walked in and waited almost 15 minutes just to get a menu, but nobody even bothered",,,,,,1
Empire restaurant,,"Koramangala,Bengaluru","We visited Empire Restaurant during our trip from Chennai, based on the positive reviews. While the food itself was good, the overall experience was disappointing",,,,,,1
Empire restaurant,,"Koramangala,Bengaluru",Best for nighr cravings spotI had a good experience here overall. The food was tasty and the service was attentive,,,,,,4
Empire restaurant,,"Koramangala,Bengaluru",Very disappointed with my experience at Empire Koramangala. The biryani tasted very bad and the food quality was poor. The service was extremely slow,,,,,,1
Empire restaurant,,"Koramangala,Bengaluru",Had a great time here . Food and Service was great. The ambiance was very satisfying.,,,,,,5
Empire restaurant,,"Koramangala,Bengaluru","Yesterday I have visited with friends for dinner. we ordered food like grill chicken, butter chicken, When we tasted the grill chicken it's taste is terrible",,,,,,2
Empire restaurant,,"Koramangala,Bengaluru",Good service and food quality also vey nice and great hospitality,,,,,,5
Empire restaurant,,"Koramangala,Bengaluru",Had a great experience. Madhav was always around the corner for us! Had a great time.,,,,,,5
Empire restaurant,,"Koramangala,Bengaluru",Had a good time here. Great food and good service as well.,,,,,,5
Empire restaurant,,"Koramangala,Bengaluru",Wonderful service nabam lama & very tasty food quality thank you,,,,,,5
Empire restaurant,,"Koramangala,Bengaluru",Worst chicken rice just 4 small piece maximum 50 grams only taste also worsth,,,,,,2
Empire restaurant,,"Koramangala,Bengaluru",Worst Biryani Experience Ever – Complete Waste of Money,,,,,,1
Empire restaurant,,"Koramangala,Bengaluru",The food taste was okay and the atmosphere was also fine. But the service at this Koramangala branch is the worst I have ever experienced,,,,,,2
Empire restaurant,,"Koramangala,Bengaluru",The food was good but the service was very poor. The server and the person who took order was rude,,,,,,1
Empire restaurant,,"Koramangala,Bengaluru",Nice restaurant with great varieties. Service is superb. Thanks to Captain Bimal. It was wonderful experience having lunch at the place. ,,,,,,5
Empire restaurant,,"Koramangala,Bengaluru",Fantastic hospitality Navam lama and tak ki very tasty 😋 butter chicken and parota and roti thank you,,,,,,5
Empire restaurant,,"Koramangala,Bengaluru",I really liked the empire restaurant ambiance and food. I enjoyed Grill chicken along with Mutton Biryani.,,,,,,5
Empire restaurant,,"Koramangala,Bengaluru","Had a wonderful dining experience here! The coin parota with chicken kurma was soft, flaky, and perfectly paired with a rich, flavorful kurma",,,,,,5
Empire restaurant,,"Koramangala,Bengaluru",This place is very nice but the service is bit low. They take a lot of time to get food for us..overall the food is good and the place is excellent,,,,,,4
Empire restaurant,,"Koramangala,Bengaluru",Service and hospitality super and food quality also vey nice and by nitesh captain great guys 👍,,,,,,5
Empire restaurant,,"Koramangala,Bengaluru",I had a very disappointing experience at Empire Restaurant in Koramangala. The food quality was far below expectations — the starters were oily and poorly prepared.,,,,,,1
Empire restaurant,,"Koramangala,Bengaluru",The food too good. Mohammad Yasir really served us nicely. The service is good. Can be improved more. Nicely food. Great taste. Must visit place,,,,,,5
Empire restaurant,,"Koramangala,Bengaluru",Service very nice and food also tasty and most important great hospitality by nitesh visit again soon,,,,,,4
Empire restaurant,,"Koramangala,Bengaluru",Had dinner with my family. Not even impressed with the food here. The starters are ok. Tried Fish not even cooked properly it's a bit raw & smelly.,,,,,,2
Empire restaurant,,"Koramangala,Bengaluru",Fantastic service Anish Khan & nabam lama beautiful place & tasty 😋 food thank you,,,,,,5
Empire restaurant,,"Koramangala,Bengaluru","For someone who doesn't like fish, the crispy fish fry stole my heart couldn't stop myself devouring these minutes. Over-all the every delicacy here is top-knot ",,,,,,5
Empire restaurant,,"Koramangala,Bengaluru",This Restaurant has some interesting and a variety of options. And most of the food tasted good. I would recommend trying their mutton keema dosa,,,,,,4
Empire restaurant,,"Koramangala,Bengaluru",It was really good service from the staffs at restaurant good customer service very hygiene and friendly budget,,,,,,5
Empire restaurant,,"Koramangala,Bengaluru","Food was excellent, with good taste and quality. Displayed video of kitchen to ensure hygiene, and food operation happening in kitchen. ",,,,,,4
Empire restaurant,,"Koramangala,Bengaluru","The food was very worth it, all the staff were very cooperative and their hospitality was very good, especially Anish and Suresh from the staff were very humble ",,,,,,5
Empire restaurant,,"Koramangala,Bengaluru","Well, I loved the dishes that I ordered here...Taste was superb. But what they need to focus on more is their staff members,",,,,,,4
Empire restaurant,,"Koramangala,Bengaluru","Worst staff service, got my order wrong 4 times, they say food is freshly prepared but when it comes to your table, it will be stale and cold.",,,,,,1
Empire restaurant,,"Koramangala,Bengaluru",Food taste is ok. Compared to other restaurants in the street the item prices are less. Staff strength is phenomenal. Service is also at rapid rate.,,,,,,4
Empire restaurant,,"Koramangala,Bengaluru",I visited today at Empire kormangala I had ordered biryani and kabab and some desert i enjoyed that the food was very testy and special thanks for shantanu he was very polite,,,,,,5
Empire restaurant,,"Koramangala,Bengaluru","The food here is absolutely delicious. The staff is incredibly friendly and welcoming, making it a wonderful place to dine",,,,,,5
Empire restaurant,,"Koramangala,Bengaluru","The food is very average here. Chicken curry, kebabs, all taste the same. I wouldn’t recommend.",,,,,,2
Empire restaurant,,"Koramangala,Bengaluru","Excellent food, ambience and services . There's a separate party hall. We were 50 people in a group. Very convenient. ",,,,,,5
Empire restaurant,,"Koramangala,Bengaluru","The service is good but slow compared to other branches, the atmosphere is good too, but the food their's space for it to be better",,,,,,4
Empire restaurant,,"Koramangala,Bengaluru",Grill chicken & Mutton Biryani is must to try. Location+food+ambience is perfect. But the staff is a bit unprofessional. There is a bit of a hustle with the parking,,,,,,4
Empire restaurant,,"Koramangala,Bengaluru",Nice ambiance and good location,,,,,,4
Empire restaurant,,"Koramangala,Bengaluru",Bloody road side street food is better than this dal is fully watery and for alfham nothing they have given what should I have now its my birthday today night this guys made my day bad,,,,,,1
Empire restaurant,,"Koramangala,Bengaluru",I have a very mixed feeling about this place. Service is not so systematic as starters and main courses will be served at once after a long wait,,,,,,3
Empire restaurant,,"Koramangala,Bengaluru","Worst service, waiter feels he is giving free food. The sick attitude of staffs",,,,,,1
Empire restaurant,,"Koramangala,Bengaluru","No value for price, for 500, it was just bones No spices. Poor taste",,,,,,1
Empire restaurant,,"Koramangala,Bengaluru",The chicken boneless Biriyani was good and especially the tawa shawarma was great. Sandeep served us really well overall it was a good experience ,,,,,,5
Empire restaurant,,"Koramangala,Bengaluru",Great food and amazing experience! Mr. Lambu offered great service and created a very hospitable environment for us,,,,,,5
Empire restaurant,,"Koramangala,Bengaluru",Terrible experience with the place. The place is quite famous in Koramangala but I could not figure out why.,,,,,,2
Empire restaurant,,"Koramangala,Bengaluru",Excellent service lambu and nabam very tasty food quality and beautiful place tq...,,,,,,5
Empire restaurant,,"Koramangala,Bengaluru",Ambiance and location of the restaurant is very good. Food need to be more tasty as per my opinion. ,,,,,,2
Empire restaurant,,"Koramangala,Bengaluru","Food was excellent, service is adequate do not expect to be quick even if there is no one in the restaurant, must try paneer tikka masala and butter naan ",,,,,,5
Empire restaurant,,"Koramangala,Bengaluru",Service was very nice and food also tasty mostly hospitallity wonderful good team' works also empire restaurant always my favourite restaurant in banglore,,,,,,5
Empire restaurant,,"Koramangala,Bengaluru",In my experience empire restaurant having fresh food and good tasty. As well as good service and good behaviour and also clean place. The ambiance is great. ,,,,,,5
Empire restaurant,,"Koramangala,Bengaluru",Very big restaurant with experienced staff. Modern-day look but not over the top prices of stuff. Loads of food options to choose from,,,,,,3
Empire restaurant,,"Koramangala,Bengaluru",The food was so good and tasty and even the teh service was also good the guy shantanu gave very good service ,,,,,,5
Empire restaurant,,"Koramangala,Bengaluru",Wow service and food quality quantity also good testy amazing,,,,,,5
Empire restaurant,,"Koramangala,Bengaluru","Empire offers some really amazing mouth- watering kebabs, tandoori dishes and chicken biryani! The best part is that the restaurant remains open till 3:30 am",,,,,,4
Meghana foods,,"Indira nagar,Bengaluru","Had a wonderful dining experience at Meghana Foods. The Meghana Special Biryani was absolutely delicious—perfectly cooked, flavorful, and generously portioned.",,,,,,5
Meghana foods,,"Indira nagar,Bengaluru",Best Chicken Biryani without doubts: very well know by the locals and flagship,,,,,,5
Meghana foods,,"Indira nagar,Bengaluru","Visited Meghana Foods during my Bangalore trip, and honestly, I haven't had a biryani this good in a long time. The flavors were spot on, the rice was perfectly cooked",,,,,,5
Meghana foods,,"Indira nagar,Bengaluru","We tried the Meghna Special Boneless Chicken Biryani, very tasty, flavorful, and served in generous portions. One plate is enough for two people",,,,,,5
Meghana foods,,"Indira nagar,Bengaluru","Meghana Foods never disappoints! We tried the Non-veg special and Veg special biryani, and both were super in taste",,,,,,5
Meghana foods,,"Indira nagar,Bengaluru",I tried Meghana Special Biryani for the first time yesterday for lunch at their Indiranagar restaurant. The taste was outstanding — I still can’t forget the first bite,,,,,,5
Meghana foods,,"Indira nagar,Bengaluru","Honestly I have eaten from Meghana for a very long time, but this time I’m disappointed. The taste is nothing like it used to be. ",,,,,,3
Meghana foods,,"Indira nagar,Bengaluru",Best Basmati Rice based Biryani spot in Bengaluru. The must try are Paneer Biryani in vegetarian and Meghna Special Boneless Chicken Biryani,,,,,,5
Meghana foods,,"Indira nagar,Bengaluru","Ordered two starters and two biryanis, one veg and one non-veg. Both the biryanis were pretty mid, definitely had much better biryani at a lot of other places. ",,,,,,3
Meghana foods,,"Indira nagar,Bengaluru","Without a doubt, this is the best chicken biryani I’ve ever had. A true local favorite and clearly the flagship dish",,,,,,5
Meghana foods,,"Indira nagar,Bengaluru","Another 5-star experience at Meghana Foods, and as usual, the food was absolutely delicious! The consistency here is unmatched",,,,,,5
Meghana foods,,"Indira nagar,Bengaluru","Always the go biryani place, whether it’s online order or go to dine in place. Chicken boneless biryani with guava chilli mocktail was the best combo ever ",,,,,,5
Meghana foods,,"Indira nagar,Bengaluru","We tasted the hyped Mutton Biryani which was just average ,surprisingly chicken tandoori was good. Andhra style chilli chicken was good too",,,,,,4
Meghana foods,,"Indira nagar,Bengaluru","The food quality in taste has really gone bad , i had been to other outlets and biryani has always been nice and served with salad but this outlet rather was a nightmare.",,,,,,1
Meghana foods,,"Indira nagar,Bengaluru","Meghana Foods, Indiranagar never disappoints. Did a takeaway and everything was packed well, fresh, and absolutely delicious. ",,,,,,4
Meghana foods,,"Indira nagar,Bengaluru",I have tried every biryani in Bengaluru and this one is my most favourite. Taste is ultimate. Quantity is 1 biryani serves 2,,,,,,5
Meghana foods,,"Indira nagar,Bengaluru","Had a great meal at Meghana Foods, Indiranagar. We ordered Crispy Baby Corn, Chicken Fry, and Meghana Special Chicken Biryani. The starters were delicious, crispy, and full of flavor.",,,,,,5
Meghana foods,,"Indira nagar,Bengaluru",Delicious and flavorful biryani with perfectly cooked chicken. Consistently great taste and totally worth it.,,,,,,4
Meghana foods,,"Indira nagar,Bengaluru",Meghans spl biryani was tasty and delicious to have and I liked the overall ambience there,,,,,,5
Meghana foods,,"Indira nagar,Bengaluru","Loved the paneer biriyani✨ would take all my friends there next time, just a request to not ruin the taste by then..thanks ",,,,,,5
Meghana foods,,"Indira nagar,Bengaluru",Had chicken and mutton biryani here a few days ago. Chicken biryani was delicious but mutton biryani was ok-ok. Chicken biryani definitely stole the show for us.,,,,,,5
Meghana foods,,"Indira nagar,Bengaluru",Extremely average place with sky high prices was my honest opinion about this place. All the mutton dishes and briyanis are at 500 rupees mark which I found exorbitant,,,,,,3
Meghana foods,,"Indira nagar,Bengaluru","Their biryani is simply mind-blowing. Although it's packed with people with wait time upto 15 mins, the food is worth it. Would visit again to try their biryani.",,,,,,5
Meghana foods,,"Indira nagar,Bengaluru",The atmosphere was very vibrant and busy because of its popularity. But crowd management is really superb by the waiters. Also the service is nice.,,,,,,5
Meghana foods,,"Indira nagar,Bengaluru","This is probably one of the MOST best resutaraunts ive ever been to. Even though the wait for a seat was so long, the food made up for every second of it",,,,,,5
Meghana foods,,"Indira nagar,Bengaluru",Excellent service and a great dining experience! We tried several dishes and were impressed overall. The lemon chicken was absolutely delicious,,,,,,4
Meghana foods,,"Indira nagar,Bengaluru",Love the food quality...it's yummy Had ordered paneer biryani,,,,,,4
Meghana foods,,"Indira nagar,Bengaluru",Visited to try their chicken boneless biryani. It was indeed delicious. Quantity will be enough for two.,,,,,,5
Meghana foods,,"Indira nagar,Bengaluru",Meghana Foods has been my regular spot whenever I visit Bangalore. Their chicken biryani is a must-try—flavorful and consistently good. One of the best parts is their service;,,,,,,5
Meghana foods,,"Indira nagar,Bengaluru",Love Meghanas. What is there not to love. This is my go to comfort biryani place whether it is dine in or take away. The price and value for money is decent.,,,,,,4
Meghana foods,,"Indira nagar,Bengaluru",I have visited here several times. I had good experiences. Amazing biriyani Though the place is small and will be crowded most of the peak times,,,,,,4
Meghana foods,,"Indira nagar,Bengaluru","Absolutely loved it, the quantity might be a bit too much for one person and the biryani I ordered had about 12-15 pieces of chicken and the rice was aromatic and really flavourful. ",,,,,,5
Meghana foods,,"Indira nagar,Bengaluru","Absolutely loved it, the quantity might be a bit too much for one person and the biryani I ordered had about 12-15 pieces of chicken and the rice was aromatic and really flavourful. ",,,,,,3
Meghana foods,,"Indira nagar,Bengaluru","Visited Meghana Foods after a long time and it was a delightful experience. The biryani has its signature flavorful taste — rich, aromatic, and satisfying as always",,,,,,4
Meghana foods,,"Indira nagar,Bengaluru","I ordered chicken biryani, mutton biryani, and mutton roast. The food arrived in less than 5 minutes even during rush hour — really impressive!",,,,,,5
Meghana foods,,"Indira nagar,Bengaluru",Checked out Meghna Biryani and completely understood what the hype is about. I tried the Special chicken biryani and prawns fry for starters.,,,,,,5
Meghana foods,,"Indira nagar,Bengaluru","Meghana Foods in Indiranagar is a go-to place if you’re a biryani lover. Their Andhra-style biryani, especially the boneless chicken biryani, is packed with flavor ",,,,,,4
Meghana foods,,"Indira nagar,Bengaluru","Meghana Foods, Indiranagar is a wonderful family restaurant and a very nice place to visit for dinner with family",,,,,,4
Meghana foods,,"Indira nagar,Bengaluru",Disappointed with the Flavors Tried the biriyani and found it quite disappointing — overly spicy but lacking real depth or taste.,,,,,,3
Meghana foods,,"Indira nagar,Bengaluru","Guntur chicken is the best.....biryanis are really tasty....tried pepper chicken also, very well cooked..service is too good.",,,,,,4
Meghana foods,,"Indira nagar,Bengaluru","I love the mutton biryani at Meghana — I've tried it many times and it's always consistent. The ambience is average, and the wash area is messy and usually crowded",,,,,,4
Meghana foods,,"Indira nagar,Bengaluru",Top 3 Biryani places in BLR for sure. You can't go wrong with a boneless chicken biryani at Meghana. ,,,,,,4
Meghana foods,,"Indira nagar,Bengaluru",Iam from Hyderabad but in this restaurant the boneless chicken biryani is same like hyderabad biryani i love it ,,,,,,5
Meghana foods,,"Indira nagar,Bengaluru",Excellent consistent taste and quality as usual. The service staffs were very helpful but the ambience could have been better since it was under renovation. ,,,,,,4
Meghana foods,,"Indira nagar,Bengaluru",I am from Chennai and this is the first time I visit this place in Bangalore. I really loved their food and service. I ordered some of the dishes from 'Today's special' menu and it was really awesome.,,,,,,5
Meghana foods,,"Indira nagar,Bengaluru",I had an absolutely exceptional dining experience at Meghana Foods Indira Nagar,,,,,,5
Meghana foods,,"Indira nagar,Bengaluru","love their meghana special chicken biryani. very flavorful, highly recommended.",,,,,,5
Meghana foods,,"Indira nagar,Bengaluru",Been to this place for lunch. Ordered Meghana special - Boneless Chicken Biryani.,,,,,,4
Meghana foods,,"Indira nagar,Bengaluru",Very tasty biriyani. Quantity is much. Overall nice place for biryanis.,,,,,,4
Meghana foods,,"Indira nagar,Bengaluru",Meghna foods is located in the prime location Indiranagar. Valet parking available.food is tasty and hygienic. Well behaved staff. Waiting time is bit high. ,,,,,,4
Meghana foods,,"Indira nagar,Bengaluru","Food is pretty average. The rice was good, just like a fragrant basmati rice you will get at many places. They just top it off with some chilli chicken kind of thing. ",,,,,,3
Meghana foods,,"Indira nagar,Bengaluru","I tried their boneless chicken biryani, and it stood out for its balance rather than overwhelming spice. The chicken was tender and well-marinated",,,,,,5
Meghana foods,,"Indira nagar,Bengaluru","Meghana's biryani is so tasty, I ate after 4-5 years and felt it's so good. There is no comparison of Meghana biryani. It was crowed and waiting time was 10-15 mins",,,,,,4
Meghana foods,,"Indira nagar,Bengaluru","I visited Meghana foods (Indira Nagar branch) on Sunday night with friends. Unfortunately, the experience was disappointing overall. ",,,,,,1
Meghana foods,,"Indira nagar,Bengaluru","We ordered mutton biryani, prawns ghee roast, aloo dum biryani, and Manchurian. overall it is good experience.",,,,,,4
Meghana foods,,"Indira nagar,Bengaluru","We took 2 briyani, meghana's special briyani and chicken boneless chicken biryani. Both are fine in taste. Decent quality for 2 people",,,,,,4
Meghana foods,,"Indira nagar,Bengaluru","Food tastes good but prices are a bit expensive. They are famous for their Perfection, Taste, Uniqueness. Satisfied with their service. Ambience is good",,,,,,4
Meghana foods,,"Indira nagar,Bengaluru",Tried the Meghna Special Chicken Biryani recently — and it absolutely lives up to the hype.,,,,,,4
Meghana foods,,"Indira nagar,Bengaluru","it was a good experience overall. The food, especially the biryani, was flavorful and lived up to its reputation. While the prices felt a little on the higher side",,,,,,4
Meghana foods,,"Indira nagar,Bengaluru","Tried the Meghna Special Biryani at Meghana Biryani, Indiranagar. It was a bit spicy for my taste, but really flavourful and enjoyable overall. ",,,,,,4
Vidyarthi bhavan,,"Gandhi bazaar,Bengaluru","Vidyarthi Bhavan in Bangalore is one of the most iconic and famous places for dosa, and it truly lives up to its reputation in terms of popularity. ",,,,,,4
Vidyarthi bhavan,,"Gandhi bazaar,Bengaluru",Vidyarthi Bhavan has been one of the most iconic places in Bengaluru for its masala dosas and the way waiters serve them,,,,,,5
Vidyarthi bhavan,,"Gandhi bazaar,Bengaluru","I recently visited Vidyarthi Bhavan and it was a classic Bangalore food experience. This place is famous for its iconic dosas, and the taste truly lives up to the hype. ",,,,,,4
Vidyarthi bhavan,,"Gandhi bazaar,Bengaluru","Visited Vidyarthi Bhavan and it definitely lived up to its reputation. The iconic crispy, buttery masala dosa was absolutely delicious",,,,,,5
Vidyarthi bhavan,,"Gandhi bazaar,Bengaluru",I recently visited Vidyarthi Bhavan and had a classic Bangalore breakfast experience. The restaurant is located near the flower market,,,,,,4
Vidyarthi bhavan,,"Gandhi bazaar,Bengaluru",The BEST Dosa in Bangaluru !!,,,,,,5
Vidyarthi bhavan,,"Gandhi bazaar,Bengaluru",Visited Vidyarthi Bhavan twice and both times the experience was memorable. This place is on a very busy Bangalore street,,,,,,5
Vidyarthi bhavan,,"Gandhi bazaar,Bengaluru",Visited Vidyarthi Bhavan recently and had a really nice experience. It’s one of the oldest South Indian restaurants in Bangalore,,,,,,5
Vidyarthi bhavan,,"Gandhi bazaar,Bengaluru","Best dosa in Bangalore, so much has changed over the years but the quality of dosa is the same. Crispy outside and soft inside.",,,,,,5
Vidyarthi bhavan,,"Gandhi bazaar,Bengaluru","Honestly speaking, I really didn't like the masala sagu dosa. Except the crispiness nothing was good about the dosa. The sagu was not at all good",,,,,,2
Vidyarthi bhavan,,"Gandhi bazaar,Bengaluru","I traveled all the way from Ahmedabad just to try the famous masala dosa, and it was absolutely worth it.",,,,,,5
Vidyarthi bhavan,,"Gandhi bazaar,Bengaluru","The place carries a nostalgic old-Bangalore charm, paired with quick service and a lively, bustling atmosphere. The food truly stands out",,,,,,4
Vidyarthi bhavan,,"Gandhi bazaar,Bengaluru","Visiting Vidyarthi Bhavan in Bangalore was truly a memorable experience. The highlight of the meal was definitely the famous masala dosa thick, crispy, and generously coated with ghee",,,,,,4
Vidyarthi bhavan,,"Gandhi bazaar,Bengaluru",One OG restaurant of South Bangalore. Wait for hour and get inside for filter coffee and Dosa. Everytime we visit the same warmth from people here,,,,,,4
Vidyarthi bhavan,,"Gandhi bazaar,Bengaluru",The place gives authentic and historic vibe . Dosa is very crispy here. The way of serving dosa is amazing. The place could be more hygienic.,,,,,,4
Vidyarthi bhavan,,"Gandhi bazaar,Bengaluru","Finally understood what all the hype is about. We tried their Benne Masala Dosa, Puri Sagu and of course their filter coffee",,,,,,5
Vidyarthi bhavan,,"Gandhi bazaar,Bengaluru","We visited this place after hearing all the hype, but it didn’t live up to the expectations. In my opinion, it’s highly overrated and overhyped",,,,,,1
Vidyarthi bhavan,,"Gandhi bazaar,Bengaluru",Over crowded and One of the OG tiffin centre of South Bangalore giving off old retro vibes of Bangalore. Nostalgic and super history hotel.,,,,,,5
Vidyarthi bhavan,,"Gandhi bazaar,Bengaluru",Vidyarthi bhavan has still maintained its old charm but has exceeded my expectations on way they have solved queue problem,,,,,,5
